game_num,agent_name,action,action_label
0,MCCFRAgent,1,call
0,MCTS_Agent,2,raise_half_pot
0,MCCFRAgent,2,raise_half_pot
0,MCTS_Agent,2,raise_half_pot
0,MCCFRAgent,1,call
0,MCCFRAgent,1,call
0,MCTS_Agent,3,raise_full_pot
0,MCCFRAgent,1,call
0,MCCFRAgent,3,raise_full_pot
0,MCTS_Agent,1,call
0,MCCFRAgent,1,call
0,MCTS_Agent,1,call
1,MCCFRAgent,4,all_in
1,MCTS_Agent,0,fold
2,MCCFRAgent,4,all_in
2,MCTS_Agent,1,call
3,MCCFRAgent,1,call
3,MCTS_Agent,2,raise_half_pot
3,MCCFRAgent,1,call
3,MCCFRAgent,2,raise_half_pot
3,MCTS_Agent,3,raise_full_pot
3,MCCFRAgent,1,call
3,MCCFRAgent,1,call
3,MCTS_Agent,3,raise_full_pot
3,MCCFRAgent,1,call
3,MCCFRAgent,1,call
3,MCTS_Agent,2,raise_half_pot
3,MCCFRAgent,4,all_in
3,MCTS_Agent,1,call
4,MCCFRAgent,4,all_in
4,MCTS_Agent,1,call
5,MCCFRAgent,1,call
5,MCTS_Agent,3,raise_full_pot
5,MCCFRAgent,1,call
5,MCCFRAgent,1,call
5,MCTS_Agent,2,raise_half_pot
5,MCCFRAgent,1,call
5,MCCFRAgent,4,all_in
5,MCTS_Agent,1,call
6,MCCFRAgent,1,call
6,MCTS_Agent,2,raise_half_pot
6,MCCFRAgent,1,call
6,MCCFRAgent,1,call
6,MCTS_Agent,2,raise_half_pot
6,MCCFRAgent,1,call
6,MCCFRAgent,1,call
6,MCTS_Agent,2,raise_half_pot
6,MCCFRAgent,1,call
6,MCCFRAgent,3,raise_full_pot
6,MCTS_Agent,3,raise_full_pot
6,MCCFRAgent,1,call
7,MCCFRAgent,1,call
7,MCTS_Agent,2,raise_half_pot
7,MCCFRAgent,1,call
7,MCCFRAgent,1,call
7,MCTS_Agent,2,raise_half_pot
7,MCCFRAgent,1,call
7,MCCFRAgent,1,call
7,MCTS_Agent,3,raise_full_pot
7,MCCFRAgent,3,raise_full_pot
7,MCTS_Agent,3,raise_full_pot
7,MCCFRAgent,4,all_in
7,MCTS_Agent,1,call
8,MCCFRAgent,1,call
8,MCTS_Agent,2,raise_half_pot
8,MCCFRAgent,1,call
8,MCCFRAgent,1,call
8,MCTS_Agent,3,raise_full_pot
8,MCCFRAgent,4,all_in
8,MCTS_Agent,1,call
