game_num,agent_name,action,action_label
6231,MCCFRAgent_2,0,fold
6232,MCCFRAgent_1,3,raise_full_pot
6232,MCCFRAgent_2,0,fold
6233,MCCFRAgent_1,3,raise_full_pot
6233,MCCFRAgent_2,4,all_in
6233,MCCFRAgent_1,0,fold
6234,MCCFRAgent_1,0,fold
6235,MCCFRAgent_1,1,call
6235,MCCFRAgent_2,0,fold
6236,MCCFRAgent_1,4,all_in
6236,MCCFRAgent_2,1,call
6237,MCCFRAgent_1,1,call
6237,MCCFRAgent_2,1,call
6237,MCCFRAgent_1,1,call
6237,MCCFRAgent_2,2,raise_half_pot
6237,MCCFRAgent_1,1,call
6237,MCCFRAgent_1,1,call
6237,MCCFRAgent_2,0,fold
6238,MCCFRAgent_1,4,all_in
6238,MCCFRAgent_2,0,fold
6239,MCCFRAgent_1,3,raise_full_pot
6239,MCCFRAgent_2,4,all_in
6239,MCCFRAgent_1,1,call
6240,MCCFRAgent_1,1,call
6240,MCCFRAgent_2,2,raise_half_pot
6240,MCCFRAgent_1,4,all_in
6240,MCCFRAgent_2,0,fold
6241,MCCFRAgent_1,3,raise_full_pot
6241,MCCFRAgent_2,0,fold
6242,MCCFRAgent_1,4,all_in
6242,MCCFRAgent_2,1,call
6243,MCCFRAgent_1,4,all_in
6243,MCCFRAgent_2,1,call
6244,MCCFRAgent_1,1,call
6244,MCCFRAgent_2,0,fold
6245,MCCFRAgent_1,4,all_in
6245,MCCFRAgent_2,0,fold
6246,MCCFRAgent_1,0,fold
6247,MCCFRAgent_1,4,all_in
6247,MCCFRAgent_2,0,fold
6248,MCCFRAgent_1,0,fold
6249,MCCFRAgent_1,4,all_in
6249,MCCFRAgent_2,0,fold
6250,MCCFRAgent_1,1,call
6250,MCCFRAgent_2,0,fold
6251,MCCFRAgent_1,3,raise_full_pot
6251,MCCFRAgent_2,0,fold
6252,MCCFRAgent_1,4,all_in
6252,MCCFRAgent_2,0,fold
6253,MCCFRAgent_1,3,raise_full_pot
6253,MCCFRAgent_2,3,raise_full_pot
6253,MCCFRAgent_1,3,raise_full_pot
6253,MCCFRAgent_2,4,all_in
6253,MCCFRAgent_1,1,call
6254,MCCFRAgent_1,0,fold
6255,MCCFRAgent_1,1,call
6255,MCCFRAgent_2,3,raise_full_pot
6255,MCCFRAgent_1,3,raise_full_pot
6255,MCCFRAgent_2,3,raise_full_pot
6255,MCCFRAgent_1,3,raise_full_pot
6255,MCCFRAgent_2,1,call
6255,MCCFRAgent_1,1,call
6255,MCCFRAgent_2,4,all_in
6255,MCCFRAgent_1,1,call
6256,MCCFRAgent_1,1,call
6256,MCCFRAgent_2,4,all_in
6256,MCCFRAgent_1,0,fold
6257,MCCFRAgent_1,1,call
6257,MCCFRAgent_2,0,fold
6258,MCCFRAgent_1,0,fold
6259,MCCFRAgent_1,3,raise_full_pot
6259,MCCFRAgent_2,1,call
6259,MCCFRAgent_1,2,raise_half_pot
6259,MCCFRAgent_2,2,raise_half_pot
6259,MCCFRAgent_1,0,fold
6260,MCCFRAgent_1,3,raise_full_pot
6260,MCCFRAgent_2,2,raise_half_pot
6260,MCCFRAgent_1,2,raise_half_pot
6260,MCCFRAgent_2,4,all_in
6260,MCCFRAgent_1,1,call
6261,MCCFRAgent_1,3,raise_full_pot
6261,MCCFRAgent_2,2,raise_half_pot
6261,MCCFRAgent_1,4,all_in
6261,MCCFRAgent_2,0,fold
6262,MCCFRAgent_1,0,fold
6263,MCCFRAgent_1,0,fold
6264,MCCFRAgent_1,3,raise_full_pot
6264,MCCFRAgent_2,1,call
6264,MCCFRAgent_1,4,all_in
6264,MCCFRAgent_2,1,call
6265,MCCFRAgent_1,1,call
6265,MCCFRAgent_2,1,call
6265,MCCFRAgent_1,4,all_in
6265,MCCFRAgent_2,1,call
6266,MCCFRAgent_1,1,call
6266,MCCFRAgent_2,2,raise_half_pot
6266,MCCFRAgent_1,1,call
6266,MCCFRAgent_1,0,fold
6267,MCCFRAgent_1,1,call
6267,MCCFRAgent_2,3,raise_full_pot
6267,MCCFRAgent_1,0,fold
6268,MCCFRAgent_1,3,raise_full_pot
6268,MCCFRAgent_2,0,fold
6269,MCCFRAgent_1,1,call
6269,MCCFRAgent_2,3,raise_full_pot
6269,MCCFRAgent_1,3,raise_full_pot
6269,MCCFRAgent_2,2,raise_half_pot
6269,MCCFRAgent_1,2,raise_half_pot
6269,MCCFRAgent_2,3,raise_full_pot
6269,MCCFRAgent_1,0,fold
6270,MCCFRAgent_1,4,all_in
6270,MCCFRAgent_2,1,call
6271,MCCFRAgent_1,4,all_in
6271,MCCFRAgent_2,0,fold
6272,MCCFRAgent_1,3,raise_full_pot
6272,MCCFRAgent_2,1,call
6272,MCCFRAgent_1,0,fold
6273,MCCFRAgent_1,4,all_in
6273,MCCFRAgent_2,0,fold
6274,MCCFRAgent_1,3,raise_full_pot
6274,MCCFRAgent_2,4,all_in
6274,MCCFRAgent_1,1,call
6275,MCCFRAgent_1,0,fold
6276,MCCFRAgent_1,0,fold
6277,MCCFRAgent_1,3,raise_full_pot
6277,MCCFRAgent_2,0,fold
6278,MCCFRAgent_1,4,all_in
6278,MCCFRAgent_2,0,fold
6279,MCCFRAgent_1,3,raise_full_pot
6279,MCCFRAgent_2,2,raise_half_pot
6279,MCCFRAgent_1,1,call
6279,MCCFRAgent_1,0,fold
6280,MCCFRAgent_1,1,call
6280,MCCFRAgent_2,0,fold
6281,MCCFRAgent_1,3,raise_full_pot
6281,MCCFRAgent_2,2,raise_half_pot
6281,MCCFRAgent_1,4,all_in
6281,MCCFRAgent_2,0,fold
6282,MCCFRAgent_1,0,fold
6283,MCCFRAgent_1,3,raise_full_pot
6283,MCCFRAgent_2,0,fold
6284,MCCFRAgent_1,1,call
6284,MCCFRAgent_2,0,fold
6285,MCCFRAgent_1,4,all_in
6285,MCCFRAgent_2,0,fold
6286,MCCFRAgent_1,3,raise_full_pot
6286,MCCFRAgent_2,3,raise_full_pot
6286,MCCFRAgent_1,0,fold
6287,MCCFRAgent_1,3,raise_full_pot
6287,MCCFRAgent_2,1,call
6287,MCCFRAgent_1,0,fold
6288,MCCFRAgent_1,0,fold
6289,MCCFRAgent_1,4,all_in
6289,MCCFRAgent_2,1,call
6290,MCCFRAgent_1,3,raise_full_pot
6290,MCCFRAgent_2,2,raise_half_pot
6290,MCCFRAgent_1,0,fold
6291,MCCFRAgent_1,1,call
6291,MCCFRAgent_2,3,raise_full_pot
6291,MCCFRAgent_1,0,fold
6292,MCCFRAgent_1,4,all_in
6292,MCCFRAgent_2,0,fold
6293,MCCFRAgent_1,4,all_in
6293,MCCFRAgent_2,0,fold
6294,MCCFRAgent_1,1,call
6294,MCCFRAgent_2,0,fold
6295,MCCFRAgent_1,4,all_in
6295,MCCFRAgent_2,0,fold
6296,MCCFRAgent_1,1,call
6296,MCCFRAgent_2,3,raise_full_pot
6296,MCCFRAgent_1,4,all_in
6296,MCCFRAgent_2,0,fold
6297,MCCFRAgent_1,0,fold
6298,MCCFRAgent_1,3,raise_full_pot
6298,MCCFRAgent_2,1,call
6298,MCCFRAgent_1,0,fold
6299,MCCFRAgent_1,4,all_in
6299,MCCFRAgent_2,0,fold
6300,MCCFRAgent_1,3,raise_full_pot
6300,MCCFRAgent_2,2,raise_half_pot
6300,MCCFRAgent_1,2,raise_half_pot
6300,MCCFRAgent_2,4,all_in
6300,MCCFRAgent_1,1,call
6301,MCCFRAgent_1,0,fold
6302,MCCFRAgent_1,3,raise_full_pot
6302,MCCFRAgent_2,0,fold
6303,MCCFRAgent_1,4,all_in
6303,MCCFRAgent_2,0,fold
6304,MCCFRAgent_1,4,all_in
6304,MCCFRAgent_2,0,fold
6305,MCCFRAgent_1,4,all_in
6305,MCCFRAgent_2,0,fold
6306,MCCFRAgent_1,0,fold
6307,MCCFRAgent_1,1,call
6307,MCCFRAgent_2,4,all_in
6307,MCCFRAgent_1,0,fold
6308,MCCFRAgent_1,1,call
6308,MCCFRAgent_2,2,raise_half_pot
6308,MCCFRAgent_1,3,raise_full_pot
6308,MCCFRAgent_2,3,raise_full_pot
6308,MCCFRAgent_1,0,fold
6309,MCCFRAgent_1,4,all_in
6309,MCCFRAgent_2,0,fold
6310,MCCFRAgent_1,4,all_in
6310,MCCFRAgent_2,1,call
6311,MCCFRAgent_1,3,raise_full_pot
6311,MCCFRAgent_2,0,fold
6312,MCCFRAgent_1,4,all_in
6312,MCCFRAgent_2,0,fold
6313,MCCFRAgent_1,4,all_in
6313,MCCFRAgent_2,0,fold
6314,MCCFRAgent_1,3,raise_full_pot
6314,MCCFRAgent_2,3,raise_full_pot
6314,MCCFRAgent_1,3,raise_full_pot
6314,MCCFRAgent_2,4,all_in
6314,MCCFRAgent_1,0,fold
6315,MCCFRAgent_1,3,raise_full_pot
6315,MCCFRAgent_2,3,raise_full_pot
6315,MCCFRAgent_1,1,call
6315,MCCFRAgent_1,0,fold
6316,MCCFRAgent_1,3,raise_full_pot
6316,MCCFRAgent_2,1,call
6316,MCCFRAgent_1,0,fold
6317,MCCFRAgent_1,0,fold
6318,MCCFRAgent_1,4,all_in
6318,MCCFRAgent_2,0,fold
6319,MCCFRAgent_1,3,raise_full_pot
6319,MCCFRAgent_2,2,raise_half_pot
6319,MCCFRAgent_1,1,call
6319,MCCFRAgent_1,2,raise_half_pot
6319,MCCFRAgent_2,0,fold
6320,MCCFRAgent_1,3,raise_full_pot
6320,MCCFRAgent_2,2,raise_half_pot
6320,MCCFRAgent_1,3,raise_full_pot
6320,MCCFRAgent_2,1,call
6320,MCCFRAgent_1,0,fold
6321,MCCFRAgent_1,4,all_in
6321,MCCFRAgent_2,0,fold
6322,MCCFRAgent_1,3,raise_full_pot
6322,MCCFRAgent_2,1,call
6322,MCCFRAgent_1,3,raise_full_pot
6322,MCCFRAgent_2,0,fold
6323,MCCFRAgent_1,4,all_in
6323,MCCFRAgent_2,1,call
6324,MCCFRAgent_1,3,raise_full_pot
6324,MCCFRAgent_2,4,all_in
6324,MCCFRAgent_1,0,fold
6325,MCCFRAgent_1,1,call
6325,MCCFRAgent_2,4,all_in
6325,MCCFRAgent_1,0,fold
6326,MCCFRAgent_1,1,call
6326,MCCFRAgent_2,1,call
6326,MCCFRAgent_1,2,raise_half_pot
6326,MCCFRAgent_2,0,fold
6327,MCCFRAgent_1,4,all_in
6327,MCCFRAgent_2,0,fold
6328,MCCFRAgent_1,4,all_in
6328,MCCFRAgent_2,0,fold
6329,MCCFRAgent_1,4,all_in
6329,MCCFRAgent_2,0,fold
6330,MCCFRAgent_1,4,all_in
6330,MCCFRAgent_2,0,fold
6331,MCCFRAgent_1,4,all_in
6331,MCCFRAgent_2,0,fold
6332,MCCFRAgent_1,4,all_in
6332,MCCFRAgent_2,0,fold
6333,MCCFRAgent_1,1,call
6333,MCCFRAgent_2,2,raise_half_pot
6333,MCCFRAgent_1,1,call
6333,MCCFRAgent_1,0,fold
6334,MCCFRAgent_1,1,call
6334,MCCFRAgent_2,0,fold
6335,MCCFRAgent_1,1,call
6335,MCCFRAgent_2,0,fold
6336,MCCFRAgent_1,1,call
6336,MCCFRAgent_2,0,fold
6337,MCCFRAgent_1,1,call
6337,MCCFRAgent_2,1,call
6337,MCCFRAgent_1,2,raise_half_pot
6337,MCCFRAgent_2,0,fold
6338,MCCFRAgent_1,1,call
6338,MCCFRAgent_2,1,call
6338,MCCFRAgent_1,0,fold
6339,MCCFRAgent_1,4,all_in
6339,MCCFRAgent_2,0,fold
6340,MCCFRAgent_1,0,fold
6341,MCCFRAgent_1,4,all_in
6341,MCCFRAgent_2,1,call
6342,MCCFRAgent_1,4,all_in
6342,MCCFRAgent_2,0,fold
6343,MCCFRAgent_1,3,raise_full_pot
6343,MCCFRAgent_2,0,fold
6344,MCCFRAgent_1,4,all_in
6344,MCCFRAgent_2,0,fold
6345,MCCFRAgent_1,1,call
6345,MCCFRAgent_2,0,fold
6346,MCCFRAgent_1,3,raise_full_pot
6346,MCCFRAgent_2,1,call
6346,MCCFRAgent_1,2,raise_half_pot
6346,MCCFRAgent_2,1,call
6346,MCCFRAgent_1,4,all_in
6346,MCCFRAgent_2,0,fold
6347,MCCFRAgent_1,4,all_in
6347,MCCFRAgent_2,0,fold
6348,MCCFRAgent_1,0,fold
6349,MCCFRAgent_1,4,all_in
6349,MCCFRAgent_2,0,fold
6350,MCCFRAgent_1,3,raise_full_pot
6350,MCCFRAgent_2,2,raise_half_pot
6350,MCCFRAgent_1,1,call
6350,MCCFRAgent_1,0,fold
6351,MCCFRAgent_1,4,all_in
6351,MCCFRAgent_2,0,fold
6352,MCCFRAgent_1,1,call
6352,MCCFRAgent_2,0,fold
6353,MCCFRAgent_1,3,raise_full_pot
6353,MCCFRAgent_2,4,all_in
6353,MCCFRAgent_1,1,call
6354,MCCFRAgent_1,0,fold
6355,MCCFRAgent_1,4,all_in
6355,MCCFRAgent_2,0,fold
6356,MCCFRAgent_1,3,raise_full_pot
6356,MCCFRAgent_2,4,all_in
6356,MCCFRAgent_1,1,call
6357,MCCFRAgent_1,4,all_in
6357,MCCFRAgent_2,0,fold
6358,MCCFRAgent_1,1,call
6358,MCCFRAgent_2,3,raise_full_pot
6358,MCCFRAgent_1,1,call
6358,MCCFRAgent_1,3,raise_full_pot
6358,MCCFRAgent_2,0,fold
6359,MCCFRAgent_1,4,all_in
6359,MCCFRAgent_2,0,fold
6360,MCCFRAgent_1,3,raise_full_pot
6360,MCCFRAgent_2,4,all_in
6360,MCCFRAgent_1,0,fold
6361,MCCFRAgent_1,0,fold
6362,MCCFRAgent_1,3,raise_full_pot
6362,MCCFRAgent_2,4,all_in
6362,MCCFRAgent_1,1,call
6363,MCCFRAgent_1,1,call
6363,MCCFRAgent_2,1,call
6363,MCCFRAgent_1,3,raise_full_pot
6363,MCCFRAgent_2,3,raise_full_pot
6363,MCCFRAgent_1,0,fold
6364,MCCFRAgent_1,3,raise_full_pot
6364,MCCFRAgent_2,2,raise_half_pot
6364,MCCFRAgent_1,4,all_in
6364,MCCFRAgent_2,1,call
6365,MCCFRAgent_1,3,raise_full_pot
6365,MCCFRAgent_2,2,raise_half_pot
6365,MCCFRAgent_1,4,all_in
6365,MCCFRAgent_2,1,call
6366,MCCFRAgent_1,1,call
6366,MCCFRAgent_2,4,all_in
6366,MCCFRAgent_1,1,call
6367,MCCFRAgent_1,4,all_in
6367,MCCFRAgent_2,0,fold
6368,MCCFRAgent_1,1,call
6368,MCCFRAgent_2,1,call
6368,MCCFRAgent_1,2,raise_half_pot
6368,MCCFRAgent_2,3,raise_full_pot
6368,MCCFRAgent_1,4,all_in
6368,MCCFRAgent_2,0,fold
6369,MCCFRAgent_1,1,call
6369,MCCFRAgent_2,4,all_in
6369,MCCFRAgent_1,1,call
6370,MCCFRAgent_1,3,raise_full_pot
6370,MCCFRAgent_2,0,fold
6371,MCCFRAgent_1,3,raise_full_pot
6371,MCCFRAgent_2,0,fold
6372,MCCFRAgent_1,4,all_in
6372,MCCFRAgent_2,0,fold
6373,MCCFRAgent_1,4,all_in
6373,MCCFRAgent_2,0,fold
6374,MCCFRAgent_1,4,all_in
6374,MCCFRAgent_2,1,call
6375,MCCFRAgent_1,4,all_in
6375,MCCFRAgent_2,0,fold
6376,MCCFRAgent_1,3,raise_full_pot
6376,MCCFRAgent_2,4,all_in
6376,MCCFRAgent_1,0,fold
6377,MCCFRAgent_1,3,raise_full_pot
6377,MCCFRAgent_2,2,raise_half_pot
6377,MCCFRAgent_1,3,raise_full_pot
6377,MCCFRAgent_2,2,raise_half_pot
6377,MCCFRAgent_1,4,all_in
6377,MCCFRAgent_2,1,call
6378,MCCFRAgent_1,3,raise_full_pot
6378,MCCFRAgent_2,2,raise_half_pot
6378,MCCFRAgent_1,3,raise_full_pot
6378,MCCFRAgent_2,3,raise_full_pot
6378,MCCFRAgent_1,0,fold
6379,MCCFRAgent_1,4,all_in
6379,MCCFRAgent_2,0,fold
6380,MCCFRAgent_1,3,raise_full_pot
6380,MCCFRAgent_2,2,raise_half_pot
6380,MCCFRAgent_1,0,fold
6381,MCCFRAgent_1,4,all_in
6381,MCCFRAgent_2,0,fold
6382,MCCFRAgent_1,1,call
6382,MCCFRAgent_2,4,all_in
6382,MCCFRAgent_1,1,call
6383,MCCFRAgent_1,4,all_in
6383,MCCFRAgent_2,0,fold
6384,MCCFRAgent_1,4,all_in
6384,MCCFRAgent_2,0,fold
6385,MCCFRAgent_1,3,raise_full_pot
6385,MCCFRAgent_2,2,raise_half_pot
6385,MCCFRAgent_1,3,raise_full_pot
6385,MCCFRAgent_2,1,call
6385,MCCFRAgent_1,2,raise_half_pot
6385,MCCFRAgent_2,2,raise_half_pot
6385,MCCFRAgent_1,4,all_in
6385,MCCFRAgent_2,0,fold
6386,MCCFRAgent_1,1,call
6386,MCCFRAgent_2,2,raise_half_pot
6386,MCCFRAgent_1,2,raise_half_pot
6386,MCCFRAgent_2,2,raise_half_pot
6386,MCCFRAgent_1,4,all_in
6386,MCCFRAgent_2,0,fold
6387,MCCFRAgent_1,4,all_in
6387,MCCFRAgent_2,1,call
6388,MCCFRAgent_1,3,raise_full_pot
6388,MCCFRAgent_2,1,call
6388,MCCFRAgent_1,3,raise_full_pot
6388,MCCFRAgent_2,3,raise_full_pot
6388,MCCFRAgent_1,2,raise_half_pot
6388,MCCFRAgent_2,3,raise_full_pot
6388,MCCFRAgent_1,2,raise_half_pot
6388,MCCFRAgent_2,1,call
6388,MCCFRAgent_1,4,all_in
6388,MCCFRAgent_2,1,call
6389,MCCFRAgent_1,4,all_in
6389,MCCFRAgent_2,0,fold
6390,MCCFRAgent_1,4,all_in
6390,MCCFRAgent_2,0,fold
6391,MCCFRAgent_1,3,raise_full_pot
6391,MCCFRAgent_2,3,raise_full_pot
6391,MCCFRAgent_1,4,all_in
6391,MCCFRAgent_2,1,call
6392,MCCFRAgent_1,3,raise_full_pot
