game_num,agent_name,chip_delta,won
0,MCCFRAgent_1,2,True
0,MCCFRAgent_2,-2,False
1,MCCFRAgent_1,2,True
1,MCCFRAgent_2,-2,False
2,MCCFRAgent_1,2,True
2,MCCFRAgent_2,-2,False
3,MCCFRAgent_1,-100,False
3,MCCFRAgent_2,100,True
4,MCCFRAgent_1,-4,False
4,MCCFRAgent_2,4,True
5,MCCFRAgent_1,2,True
5,MCCFRAgent_2,-2,False
6,MCCFRAgent_1,4,True
6,MCCFRAgent_2,-4,False
7,MCCFRAgent_1,-1,False
7,MCCFRAgent_2,1,True
8,MCCFRAgent_1,2,True
8,MCCFRAgent_2,-2,False
9,MCCFRAgent_1,-1,False
9,MCCFRAgent_2,1,True
