game_num,agent_name,chip_delta,won
79,MCCFRAgent_2,1,True
80,MCCFRAgent_1,2,True
80,MCCFRAgent_2,-2,False
81,MCCFRAgent_1,-1,False
81,MCCFRAgent_2,1,True
82,MCCFRAgent_1,2,True
82,MCCFRAgent_2,-2,False
83,MCCFRAgent_1,-1,False
83,MCCFRAgent_2,1,True
84,MCCFRAgent_1,2,True
84,MCCFRAgent_2,-2,False
85,MCCFRAgent_1,2,True
85,MCCFRAgent_2,-2,False
86,MCCFRAgent_1,-2,False
86,MCCFRAgent_2,2,True
87,MCCFRAgent_1,-4,False
87,MCCFRAgent_2,4,True
88,MCCFRAgent_1,2,True
88,MCCFRAgent_2,-2,False
89,MCCFRAgent_1,-4,False
89,MCCFRAgent_2,4,True
90,MCCFRAgent_1,-1,False
90,MCCFRAgent_2,1,True
91,MCCFRAgent_1,-1,False
91,MCCFRAgent_2,1,True
92,MCCFRAgent_1,-8,False
92,MCCFRAgent_2,8,True
93,MCCFRAgent_1,100,True
93,MCCFRAgent_2,-100,False
94,MCCFRAgent_1,-100,False
94,MCCFRAgent_2,100,True
95,MCCFRAgent_1,100,True
95,MCCFRAgent_2,-100,False
96,MCCFRAgent_1,-16,False
96,MCCFRAgent_2,16,True
97,MCCFRAgent_1,8,True
97,MCCFRAgent_2,-8,False
98,MCCFRAgent_1,2,True
98,MCCFRAgent_2,-2,False
99,MCCFRAgent_1,-1,False
99,MCCFRAgent_2,1,True
100,MCCFRAgent_1,2,True
100,MCCFRAgent_2,-2,False
101,MCCFRAgent_1,100,True
101,MCCFRAgent_2,-100,False
102,MCCFRAgent_1,-2,False
102,MCCFRAgent_2,2,True
103,MCCFRAgent_1,2,True
103,MCCFRAgent_2,-2,False
104,MCCFRAgent_1,-1,False
104,MCCFRAgent_2,1,True
105,MCCFRAgent_1,-1,False
105,MCCFRAgent_2,1,True
106,MCCFRAgent_1,2,True
106,MCCFRAgent_2,-2,False
107,MCCFRAgent_1,100,True
107,MCCFRAgent_2,-100,False
108,MCCFRAgent_1,-1,False
108,MCCFRAgent_2,1,True
109,MCCFRAgent_1,-4,False
109,MCCFRAgent_2,4,True
110,MCCFRAgent_1,8,True
110,MCCFRAgent_2,-8,False
111,MCCFRAgent_1,-2,False
111,MCCFRAgent_2,2,True
112,MCCFRAgent_1,-1,False
112,MCCFRAgent_2,1,True
113,MCCFRAgent_1,2,True
113,MCCFRAgent_2,-2,False
114,MCCFRAgent_1,2,True
114,MCCFRAgent_2,-2,False
115,MCCFRAgent_1,-1,False
115,MCCFRAgent_2,1,True
116,MCCFRAgent_1,-1,False
116,MCCFRAgent_2,1,True
117,MCCFRAgent_1,2,True
117,MCCFRAgent_2,-2,False
118,MCCFRAgent_1,6,True
118,MCCFRAgent_2,-6,False
119,MCCFRAgent_1,-4,False
119,MCCFRAgent_2,4,True
120,MCCFRAgent_1,100,True
120,MCCFRAgent_2,-100,False
121,MCCFRAgent_1,-4,False
121,MCCFRAgent_2,4,True
122,MCCFRAgent_1,5,True
122,MCCFRAgent_2,-5,False
123,MCCFRAgent_1,6,True
123,MCCFRAgent_2,-6,False
124,MCCFRAgent_1,5,True
124,MCCFRAgent_2,-5,False
125,MCCFRAgent_1,2,True
125,MCCFRAgent_2,-2,False
126,MCCFRAgent_1,100,True
126,MCCFRAgent_2,-100,False
127,MCCFRAgent_1,2,True
127,MCCFRAgent_2,-2,False
128,MCCFRAgent_1,100,True
128,MCCFRAgent_2,-100,False
129,MCCFRAgent_1,2,True
129,MCCFRAgent_2,-2,False
130,MCCFRAgent_1,100,True
130,MCCFRAgent_2,-100,False
131,MCCFRAgent_1,-100,False
131,MCCFRAgent_2,100,True
132,MCCFRAgent_1,-1,False
132,MCCFRAgent_2,1,True
133,MCCFRAgent_1,2,True
133,MCCFRAgent_2,-2,False
134,MCCFRAgent_1,2,True
134,MCCFRAgent_2,-2,False
135,MCCFRAgent_1,-1,False
135,MCCFRAgent_2,1,True
136,MCCFRAgent_1,2,True
136,MCCFRAgent_2,-2,False
137,MCCFRAgent_1,2,True
137,MCCFRAgent_2,-2,False
138,MCCFRAgent_1,100,True
138,MCCFRAgent_2,-100,False
139,MCCFRAgent_1,2,True
139,MCCFRAgent_2,-2,False
140,MCCFRAgent_1,-1,False
140,MCCFRAgent_2,1,True
141,MCCFRAgent_1,2,True
141,MCCFRAgent_2,-2,False
142,MCCFRAgent_1,2,True
142,MCCFRAgent_2,-2,False
143,MCCFRAgent_1,-96,False
143,MCCFRAgent_2,96,True
144,MCCFRAgent_1,100,True
144,MCCFRAgent_2,-100,False
145,MCCFRAgent_1,-2,False
145,MCCFRAgent_2,2,True
146,MCCFRAgent_1,-1,False
146,MCCFRAgent_2,1,True
147,MCCFRAgent_1,4,True
147,MCCFRAgent_2,-4,False
148,MCCFRAgent_1,2,True
148,MCCFRAgent_2,-2,False
149,MCCFRAgent_1,10,True
149,MCCFRAgent_2,-10,False
150,MCCFRAgent_1,-4,False
150,MCCFRAgent_2,4,True
151,MCCFRAgent_1,-1,False
151,MCCFRAgent_2,1,True
152,MCCFRAgent_1,100,True
152,MCCFRAgent_2,-100,False
153,MCCFRAgent_1,2,True
153,MCCFRAgent_2,-2,False
154,MCCFRAgent_1,-1,False
154,MCCFRAgent_2,1,True
155,MCCFRAgent_1,2,True
155,MCCFRAgent_2,-2,False
156,MCCFRAgent_1,-4,False
156,MCCFRAgent_2,4,True
157,MCCFRAgent_1,2,True
157,MCCFRAgent_2,-2,False
158,MCCFRAgent_1,-2,False
158,MCCFRAgent_2,2,True
159,MCCFRAgent_1,-4,False
159,MCCFRAgent_2,4,True
160,MCCFRAgent_1,2,True
160,MCCFRAgent_2,-2,False
161,MCCFRAgent_1,-4,False
161,MCCFRAgent_2,4,True
162,MCCFRAgent_1,2,True
162,MCCFRAgent_2,-2,False
163,MCCFRAgent_1,2,True
163,MCCFRAgent_2,-2,False
164,MCCFRAgent_1,-1,False
164,MCCFRAgent_2,1,True
165,MCCFRAgent_1,6,True
165,MCCFRAgent_2,-6,False
166,MCCFRAgent_1,-100,False
166,MCCFRAgent_2,100,True
167,MCCFRAgent_1,34,True
167,MCCFRAgent_2,-34,False
168,MCCFRAgent_1,2,True
168,MCCFRAgent_2,-2,False
169,MCCFRAgent_1,-1,False
169,MCCFRAgent_2,1,True
170,MCCFRAgent_1,23,True
170,MCCFRAgent_2,-23,False
171,MCCFRAgent_1,-4,False
171,MCCFRAgent_2,4,True
172,MCCFRAgent_1,2,True
172,MCCFRAgent_2,-2,False
173,MCCFRAgent_1,-1,False
173,MCCFRAgent_2,1,True
174,MCCFRAgent_1,-1,False
174,MCCFRAgent_2,1,True
175,MCCFRAgent_1,-5,False
175,MCCFRAgent_2,5,True
176,MCCFRAgent_1,12,True
176,MCCFRAgent_2,-12,False
177,MCCFRAgent_1,2,True
177,MCCFRAgent_2,-2,False
178,MCCFRAgent_1,100,True
178,MCCFRAgent_2,-100,False
179,MCCFRAgent_1,2,True
179,MCCFRAgent_2,-2,False
180,MCCFRAgent_1,-1,False
180,MCCFRAgent_2,1,True
181,MCCFRAgent_1,-1,False
181,MCCFRAgent_2,1,True
182,MCCFRAgent_1,2,True
182,MCCFRAgent_2,-2,False
183,MCCFRAgent_1,2,True
183,MCCFRAgent_2,-2,False
184,MCCFRAgent_1,-4,False
184,MCCFRAgent_2,4,True
185,MCCFRAgent_1,100,True
185,MCCFRAgent_2,-100,False
186,MCCFRAgent_1,-1,False
186,MCCFRAgent_2,1,True
187,MCCFRAgent_1,2,True
187,MCCFRAgent_2,-2,False
188,MCCFRAgent_1,-1,False
188,MCCFRAgent_2,1,True
189,MCCFRAgent_1,2,True
189,MCCFRAgent_2,-2,False
190,MCCFRAgent_1,2,True
190,MCCFRAgent_2,-2,False
