game_num,agent_name,action,action_label
0,MCCFRAgent_1,1,call
0,MCCFRAgent_2,1,call
0,MCCFRAgent_1,4,all_in
0,MCCFRAgent_2,0,fold
1,MCCFRAgent_1,3,raise_full_pot
1,MCCFRAgent_2,0,fold
2,MCCFRAgent_1,4,all_in
2,MCCFRAgent_2,0,fold
3,MCCFRAgent_1,1,call
3,MCCFRAgent_2,1,call
3,MCCFRAgent_1,2,raise_half_pot
3,MCCFRAgent_2,3,raise_full_pot
3,MCCFRAgent_1,4,all_in
3,MCCFRAgent_2,1,call
4,MCCFRAgent_1,3,raise_full_pot
4,MCCFRAgent_2,1,call
4,MCCFRAgent_1,0,fold
5,MCCFRAgent_1,1,call
5,MCCFRAgent_2,1,call
5,MCCFRAgent_1,4,all_in
5,MCCFRAgent_2,0,fold
6,MCCFRAgent_1,1,call
6,MCCFRAgent_2,2,raise_half_pot
6,MCCFRAgent_1,4,all_in
6,MCCFRAgent_2,0,fold
7,MCCFRAgent_1,0,fold
8,MCCFRAgent_1,1,call
8,MCCFRAgent_2,0,fold
9,MCCFRAgent_1,0,fold
