game_num,agent_name,chip_delta,won
0,MCCFRAgent,-72,False
0,MCTS_Agent,72,True
1,MCCFRAgent,2,True
1,MCTS_Agent,-2,False
2,MCCFRAgent,100,True
2,MCTS_Agent,-100,False
3,MCCFRAgent,-100,False
3,MCTS_Agent,100,True
4,MCCFRAgent,-100,False
4,MCTS_Agent,100,True
5,MCCFRAgent,100,True
5,MCTS_Agent,-100,False
6,MCCFRAgent,80,True
6,MCTS_Agent,-80,False
7,MCCFRAgent,100,True
7,MCTS_Agent,-100,False
8,MCCFRAgent,0,False
8,MCTS_Agent,0,False
9,MCCFRAgent,2,True
9,MCTS_Agent,-2,False
10,MCCFRAgent,-80,False
10,MCTS_Agent,80,True
11,MCCFRAgent,100,True
11,MCTS_Agent,-100,False
12,MCCFRAgent,5,True
12,MCTS_Agent,-5,False
13,MCCFRAgent,94,True
13,MCTS_Agent,-94,False
14,MCCFRAgent,-72,False
14,MCTS_Agent,72,True
15,MCCFRAgent,4,True
15,MCTS_Agent,-4,False
16,MCCFRAgent,-100,False
16,MCTS_Agent,100,True
17,MCCFRAgent,8,True
17,MCTS_Agent,-8,False
18,MCCFRAgent,-100,False
18,MCTS_Agent,100,True
19,MCCFRAgent,2,True
19,MCTS_Agent,-2,False
20,MCCFRAgent,12,True
20,MCTS_Agent,-12,False
21,MCCFRAgent,100,True
21,MCTS_Agent,-100,False
22,MCCFRAgent,2,True
22,MCTS_Agent,-2,False
23,MCCFRAgent,65,True
23,MCTS_Agent,-65,False
24,MCCFRAgent,0,False
24,MCTS_Agent,0,False
25,MCCFRAgent,100,True
25,MCTS_Agent,-100,False
26,MCCFRAgent,-90,False
26,MCTS_Agent,90,True
27,MCCFRAgent,32,True
27,MCTS_Agent,-32,False
28,MCCFRAgent,24,True
28,MCTS_Agent,-24,False
29,MCCFRAgent,-100,False
29,MCTS_Agent,100,True
30,MCCFRAgent,100,True
30,MCTS_Agent,-100,False
31,MCCFRAgent,6,True
31,MCTS_Agent,-6,False
32,MCCFRAgent,100,True
32,MCTS_Agent,-100,False
33,MCCFRAgent,64,True
33,MCTS_Agent,-64,False
34,MCCFRAgent,5,True
34,MCTS_Agent,-5,False
35,MCCFRAgent,-80,False
35,MCTS_Agent,80,True
36,MCCFRAgent,100,True
36,MCTS_Agent,-100,False
37,MCCFRAgent,100,True
37,MCTS_Agent,-100,False
38,MCCFRAgent,-100,False
38,MCTS_Agent,100,True
39,MCCFRAgent,-100,False
39,MCTS_Agent,100,True
40,MCCFRAgent,-100,False
40,MCTS_Agent,100,True
41,MCCFRAgent,-100,False
41,MCTS_Agent,100,True
42,MCCFRAgent,4,True
42,MCTS_Agent,-4,False
43,MCCFRAgent,8,True
43,MCTS_Agent,-8,False
44,MCCFRAgent,-70,False
44,MCTS_Agent,70,True
45,MCCFRAgent,80,True
45,MCTS_Agent,-80,False
46,MCCFRAgent,-96,False
46,MCTS_Agent,96,True
47,MCCFRAgent,-32,False
47,MCTS_Agent,32,True
48,MCCFRAgent,80,True
48,MCTS_Agent,-80,False
49,MCCFRAgent,100,True
49,MCTS_Agent,-100,False
50,MCCFRAgent,94,True
50,MCTS_Agent,-94,False
51,MCCFRAgent,-66,False
51,MCTS_Agent,66,True
52,MCCFRAgent,76,True
52,MCTS_Agent,-76,False
53,MCCFRAgent,-100,False
53,MCTS_Agent,100,True
54,MCCFRAgent,92,True
54,MCTS_Agent,-92,False
55,MCCFRAgent,2,True
55,MCTS_Agent,-2,False
56,MCCFRAgent,-100,False
56,MCTS_Agent,100,True
57,MCCFRAgent,-78,False
57,MCTS_Agent,78,True
58,MCCFRAgent,60,True
58,MCTS_Agent,-60,False
59,MCCFRAgent,-64,False
59,MCTS_Agent,64,True
60,MCCFRAgent,100,True
60,MCTS_Agent,-100,False
61,MCCFRAgent,85,True
61,MCTS_Agent,-85,False
62,MCCFRAgent,100,True
62,MCTS_Agent,-100,False
63,MCCFRAgent,2,True
63,MCTS_Agent,-2,False
64,MCCFRAgent,100,True
64,MCTS_Agent,-100,False
65,MCCFRAgent,56,True
65,MCTS_Agent,-56,False
66,MCCFRAgent,-100,False
66,MCTS_Agent,100,True
67,MCCFRAgent,40,True
67,MCTS_Agent,-40,False
68,MCCFRAgent,64,True
68,MCTS_Agent,-64,False
69,MCCFRAgent,-60,False
69,MCTS_Agent,60,True
70,MCCFRAgent,62,True
70,MCTS_Agent,-62,False
71,MCCFRAgent,55,True
71,MCTS_Agent,-55,False
72,MCCFRAgent,-100,False
72,MCTS_Agent,100,True
73,MCCFRAgent,100,True
73,MCTS_Agent,-100,False
74,MCCFRAgent,0,False
74,MCTS_Agent,0,False
75,MCCFRAgent,-100,False
75,MCTS_Agent,100,True
76,MCCFRAgent,60,True
76,MCTS_Agent,-60,False
77,MCCFRAgent,-100,False
77,MCTS_Agent,100,True
78,MCCFRAgent,-70,False
78,MCTS_Agent,70,True
79,MCCFRAgent,72,True
79,MCTS_Agent,-72,False
80,MCCFRAgent,97,True
80,MCTS_Agent,-97,False
81,MCCFRAgent,-54,False
81,MCTS_Agent,54,True
82,MCCFRAgent,85,True
82,MCTS_Agent,-85,False
83,MCCFRAgent,96,True
83,MCTS_Agent,-96,False
84,MCCFRAgent,-84,False
84,MCTS_Agent,84,True
85,MCCFRAgent,-100,False
85,MCTS_Agent,100,True
86,MCCFRAgent,78,True
86,MCTS_Agent,-78,False
87,MCCFRAgent,-60,False
87,MCTS_Agent,60,True
88,MCCFRAgent,4,True
88,MCTS_Agent,-4,False
89,MCCFRAgent,-60,False
89,MCTS_Agent,60,True
90,MCCFRAgent,-54,False
90,MCTS_Agent,54,True
91,MCCFRAgent,67,True
91,MCTS_Agent,-67,False
92,MCCFRAgent,100,True
92,MCTS_Agent,-100,False
93,MCCFRAgent,74,True
93,MCTS_Agent,-74,False
94,MCCFRAgent,60,True
94,MCTS_Agent,-60,False
95,MCCFRAgent,66,True
95,MCTS_Agent,-66,False
96,MCCFRAgent,-100,False
96,MCTS_Agent,100,True
97,MCCFRAgent,2,True
97,MCTS_Agent,-2,False
98,MCCFRAgent,100,True
98,MCTS_Agent,-100,False
99,MCCFRAgent,100,True
99,MCTS_Agent,-100,False
100,MCCFRAgent,-100,False
100,MCTS_Agent,100,True
101,MCCFRAgent,4,True
101,MCTS_Agent,-4,False
102,MCCFRAgent,100,True
102,MCTS_Agent,-100,False
103,MCCFRAgent,-100,False
103,MCTS_Agent,100,True
104,MCCFRAgent,4,True
104,MCTS_Agent,-4,False
105,MCCFRAgent,-100,False
105,MCTS_Agent,100,True
106,MCCFRAgent,75,True
106,MCTS_Agent,-75,False
107,MCCFRAgent,-100,False
107,MCTS_Agent,100,True
108,MCCFRAgent,100,True
108,MCTS_Agent,-100,False
109,MCCFRAgent,5,True
109,MCTS_Agent,-5,False
110,MCCFRAgent,84,True
110,MCTS_Agent,-84,False
111,MCCFRAgent,100,True
111,MCTS_Agent,-100,False
112,MCCFRAgent,60,True
112,MCTS_Agent,-60,False
113,MCCFRAgent,100,True
113,MCTS_Agent,-100,False
114,MCCFRAgent,100,True
114,MCTS_Agent,-100,False
115,MCCFRAgent,-100,False
115,MCTS_Agent,100,True
116,MCCFRAgent,-100,False
116,MCTS_Agent,100,True
117,MCCFRAgent,-100,False
117,MCTS_Agent,100,True
118,MCCFRAgent,100,True
118,MCTS_Agent,-100,False
119,MCCFRAgent,100,True
119,MCTS_Agent,-100,False
120,MCCFRAgent,100,True
120,MCTS_Agent,-100,False
121,MCCFRAgent,100,True
121,MCTS_Agent,-100,False
122,MCCFRAgent,-100,False
122,MCTS_Agent,100,True
123,MCCFRAgent,60,True
123,MCTS_Agent,-60,False
124,MCCFRAgent,100,True
124,MCTS_Agent,-100,False
125,MCCFRAgent,-100,False
125,MCTS_Agent,100,True
126,MCCFRAgent,-100,False
126,MCTS_Agent,100,True
127,MCCFRAgent,4,True
127,MCTS_Agent,-4,False
128,MCCFRAgent,-100,False
128,MCTS_Agent,100,True
129,MCCFRAgent,2,True
129,MCTS_Agent,-2,False
130,MCCFRAgent,5,True
130,MCTS_Agent,-5,False
131,MCCFRAgent,-36,False
131,MCTS_Agent,36,True
132,MCCFRAgent,80,True
132,MCTS_Agent,-80,False
133,MCCFRAgent,20,True
133,MCTS_Agent,-20,False
134,MCCFRAgent,72,True
134,MCTS_Agent,-72,False
135,MCCFRAgent,-100,False
135,MCTS_Agent,100,True
136,MCCFRAgent,-96,False
136,MCTS_Agent,96,True
137,MCCFRAgent,100,True
137,MCTS_Agent,-100,False
138,MCCFRAgent,100,True
138,MCTS_Agent,-100,False
139,MCCFRAgent,72,True
139,MCTS_Agent,-72,False
140,MCCFRAgent,-100,False
140,MCTS_Agent,100,True
141,MCCFRAgent,-24,False
141,MCTS_Agent,24,True
142,MCCFRAgent,54,True
142,MCTS_Agent,-54,False
143,MCCFRAgent,-100,False
143,MCTS_Agent,100,True
144,MCCFRAgent,-100,False
144,MCTS_Agent,100,True
145,MCCFRAgent,0,False
145,MCTS_Agent,0,False
