game_num,agent_name,chip_delta,won
89,MCTS_Agent,24,True
90,HeuristicAgent,12,True
90,MCTS_Agent,-12,False
91,HeuristicAgent,-90,False
91,MCTS_Agent,90,True
92,HeuristicAgent,80,True
92,MCTS_Agent,-80,False
93,HeuristicAgent,-48,False
93,MCTS_Agent,48,True
94,HeuristicAgent,48,True
94,MCTS_Agent,-48,False
95,HeuristicAgent,82,True
95,MCTS_Agent,-82,False
96,HeuristicAgent,80,True
96,MCTS_Agent,-80,False
97,HeuristicAgent,-54,False
97,MCTS_Agent,54,True
98,HeuristicAgent,-60,False
98,MCTS_Agent,60,True
99,HeuristicAgent,-1,False
99,MCTS_Agent,1,True
100,HeuristicAgent,73,True
100,MCTS_Agent,-73,False
101,HeuristicAgent,-1,False
101,MCTS_Agent,1,True
102,HeuristicAgent,32,True
102,MCTS_Agent,-32,False
103,HeuristicAgent,100,True
103,MCTS_Agent,-100,False
104,HeuristicAgent,-100,False
104,MCTS_Agent,100,True
105,HeuristicAgent,0,False
105,MCTS_Agent,0,False
106,HeuristicAgent,100,True
106,MCTS_Agent,-100,False
107,HeuristicAgent,-70,False
107,MCTS_Agent,70,True
108,HeuristicAgent,100,True
108,MCTS_Agent,-100,False
109,HeuristicAgent,100,True
109,MCTS_Agent,-100,False
110,HeuristicAgent,80,True
110,MCTS_Agent,-80,False
111,HeuristicAgent,96,True
111,MCTS_Agent,-96,False
112,HeuristicAgent,82,True
112,MCTS_Agent,-82,False
113,HeuristicAgent,-100,False
113,MCTS_Agent,100,True
114,HeuristicAgent,-1,False
114,MCTS_Agent,1,True
115,HeuristicAgent,-60,False
115,MCTS_Agent,60,True
116,HeuristicAgent,0,False
116,MCTS_Agent,0,False
117,HeuristicAgent,80,True
117,MCTS_Agent,-80,False
118,HeuristicAgent,-72,False
118,MCTS_Agent,72,True
119,HeuristicAgent,55,True
119,MCTS_Agent,-55,False
120,HeuristicAgent,68,True
120,MCTS_Agent,-68,False
121,HeuristicAgent,91,True
121,MCTS_Agent,-91,False
122,HeuristicAgent,73,True
122,MCTS_Agent,-73,False
123,HeuristicAgent,88,True
123,MCTS_Agent,-88,False
124,HeuristicAgent,82,True
124,MCTS_Agent,-82,False
125,HeuristicAgent,70,True
125,MCTS_Agent,-70,False
126,HeuristicAgent,-1,False
126,MCTS_Agent,1,True
127,HeuristicAgent,45,True
127,MCTS_Agent,-45,False
128,HeuristicAgent,0,False
128,MCTS_Agent,0,False
129,HeuristicAgent,-1,False
129,MCTS_Agent,1,True
130,HeuristicAgent,-1,False
130,MCTS_Agent,1,True
131,HeuristicAgent,-54,False
131,MCTS_Agent,54,True
132,HeuristicAgent,0,False
132,MCTS_Agent,0,False
133,HeuristicAgent,53,True
133,MCTS_Agent,-53,False
134,HeuristicAgent,64,True
134,MCTS_Agent,-64,False
135,HeuristicAgent,0,False
135,MCTS_Agent,0,False
136,HeuristicAgent,82,True
136,MCTS_Agent,-82,False
137,HeuristicAgent,-100,False
137,MCTS_Agent,100,True
138,HeuristicAgent,-80,False
138,MCTS_Agent,80,True
139,HeuristicAgent,65,True
139,MCTS_Agent,-65,False
140,HeuristicAgent,82,True
140,MCTS_Agent,-82,False
141,HeuristicAgent,74,True
141,MCTS_Agent,-74,False
142,HeuristicAgent,-60,False
142,MCTS_Agent,60,True
143,HeuristicAgent,0,False
143,MCTS_Agent,0,False
144,HeuristicAgent,100,True
144,MCTS_Agent,-100,False
145,HeuristicAgent,-72,False
145,MCTS_Agent,72,True
146,HeuristicAgent,-24,False
146,MCTS_Agent,24,True
147,HeuristicAgent,82,True
147,MCTS_Agent,-82,False
148,HeuristicAgent,-1,False
148,MCTS_Agent,1,True
149,HeuristicAgent,-1,False
149,MCTS_Agent,1,True
150,HeuristicAgent,-100,False
150,MCTS_Agent,100,True
151,HeuristicAgent,65,True
151,MCTS_Agent,-65,False
152,HeuristicAgent,-72,False
152,MCTS_Agent,72,True
153,HeuristicAgent,100,True
153,MCTS_Agent,-100,False
154,HeuristicAgent,-1,False
154,MCTS_Agent,1,True
155,HeuristicAgent,-1,False
155,MCTS_Agent,1,True
156,HeuristicAgent,88,True
156,MCTS_Agent,-88,False
157,HeuristicAgent,-96,False
157,MCTS_Agent,96,True
158,HeuristicAgent,64,True
158,MCTS_Agent,-64,False
159,HeuristicAgent,-1,False
159,MCTS_Agent,1,True
160,HeuristicAgent,-96,False
160,MCTS_Agent,96,True
161,HeuristicAgent,-72,False
161,MCTS_Agent,72,True
162,HeuristicAgent,-1,False
162,MCTS_Agent,1,True
163,HeuristicAgent,0,False
163,MCTS_Agent,0,False
164,HeuristicAgent,-80,False
164,MCTS_Agent,80,True
165,HeuristicAgent,-1,False
165,MCTS_Agent,1,True
166,HeuristicAgent,97,True
166,MCTS_Agent,-97,False
167,HeuristicAgent,-1,False
167,MCTS_Agent,1,True
168,HeuristicAgent,0,False
168,MCTS_Agent,0,False
169,HeuristicAgent,-80,False
169,MCTS_Agent,80,True
170,HeuristicAgent,-72,False
170,MCTS_Agent,72,True
171,HeuristicAgent,-100,False
171,MCTS_Agent,100,True
172,HeuristicAgent,60,True
172,MCTS_Agent,-60,False
173,HeuristicAgent,96,True
173,MCTS_Agent,-96,False
174,HeuristicAgent,40,True
174,MCTS_Agent,-40,False
175,HeuristicAgent,94,True
175,MCTS_Agent,-94,False
176,HeuristicAgent,-72,False
176,MCTS_Agent,72,True
177,HeuristicAgent,-72,False
177,MCTS_Agent,72,True
178,HeuristicAgent,-1,False
178,MCTS_Agent,1,True
179,HeuristicAgent,-48,False
179,MCTS_Agent,48,True
180,HeuristicAgent,-1,False
180,MCTS_Agent,1,True
181,HeuristicAgent,100,True
181,MCTS_Agent,-100,False
182,HeuristicAgent,100,True
182,MCTS_Agent,-100,False
183,HeuristicAgent,-80,False
183,MCTS_Agent,80,True
184,HeuristicAgent,-60,False
184,MCTS_Agent,60,True
185,HeuristicAgent,80,True
185,MCTS_Agent,-80,False
186,HeuristicAgent,96,True
186,MCTS_Agent,-96,False
187,HeuristicAgent,55,True
187,MCTS_Agent,-55,False
188,HeuristicAgent,36,True
188,MCTS_Agent,-36,False
189,HeuristicAgent,-96,False
189,MCTS_Agent,96,True
190,HeuristicAgent,-1,False
190,MCTS_Agent,1,True
191,HeuristicAgent,94,True
191,MCTS_Agent,-94,False
192,HeuristicAgent,80,True
192,MCTS_Agent,-80,False
193,HeuristicAgent,-88,False
193,MCTS_Agent,88,True
194,HeuristicAgent,-96,False
194,MCTS_Agent,96,True
195,HeuristicAgent,0,False
195,MCTS_Agent,0,False
196,HeuristicAgent,80,True
196,MCTS_Agent,-80,False
197,HeuristicAgent,-96,False
197,MCTS_Agent,96,True
198,HeuristicAgent,74,True
198,MCTS_Agent,-74,False
199,HeuristicAgent,-1,False
199,MCTS_Agent,1,True
200,HeuristicAgent,48,True
200,MCTS_Agent,-48,False
201,HeuristicAgent,-1,False
201,MCTS_Agent,1,True
202,HeuristicAgent,-1,False
202,MCTS_Agent,1,True
203,HeuristicAgent,-48,False
203,MCTS_Agent,48,True
204,HeuristicAgent,-100,False
204,MCTS_Agent,100,True
205,HeuristicAgent,-100,False
205,MCTS_Agent,100,True
206,HeuristicAgent,48,True
206,MCTS_Agent,-48,False
207,HeuristicAgent,-100,False
207,MCTS_Agent,100,True
208,HeuristicAgent,94,True
208,MCTS_Agent,-94,False
209,HeuristicAgent,91,True
209,MCTS_Agent,-91,False
210,HeuristicAgent,47,True
210,MCTS_Agent,-47,False
211,HeuristicAgent,45,True
211,MCTS_Agent,-45,False
212,HeuristicAgent,-94,False
212,MCTS_Agent,94,True
213,HeuristicAgent,-80,False
213,MCTS_Agent,80,True
214,HeuristicAgent,80,True
214,MCTS_Agent,-80,False
215,HeuristicAgent,80,True
215,MCTS_Agent,-80,False
216,HeuristicAgent,-48,False
216,MCTS_Agent,48,True
217,HeuristicAgent,88,True
217,MCTS_Agent,-88,False
218,HeuristicAgent,60,True
