game_num,agent_name,chip_delta,won
89,HeuristicAgent,-2,False
90,MCCFRAgent,2,True
90,HeuristicAgent,-2,False
91,MCCFRAgent,-64,False
91,HeuristicAgent,64,True
92,MCCFRAgent,-68,False
92,HeuristicAgent,68,True
93,MCCFRAgent,85,True
93,HeuristicAgent,-85,False
94,MCCFRAgent,-100,False
94,HeuristicAgent,100,True
95,MCCFRAgent,2,True
95,HeuristicAgent,-2,False
96,MCCFRAgent,-90,False
96,HeuristicAgent,90,True
97,MCCFRAgent,-10,False
97,HeuristicAgent,10,True
98,MCCFRAgent,100,True
98,HeuristicAgent,-100,False
99,MCCFRAgent,100,True
99,HeuristicAgent,-100,False
100,MCCFRAgent,2,True
100,HeuristicAgent,-2,False
101,MCCFRAgent,-8,False
101,HeuristicAgent,8,True
102,MCCFRAgent,-100,False
102,HeuristicAgent,100,True
103,MCCFRAgent,-100,False
103,HeuristicAgent,100,True
104,MCCFRAgent,100,True
104,HeuristicAgent,-100,False
105,MCCFRAgent,-100,False
105,HeuristicAgent,100,True
106,MCCFRAgent,2,True
106,HeuristicAgent,-2,False
107,MCCFRAgent,-100,False
107,HeuristicAgent,100,True
108,MCCFRAgent,2,True
108,HeuristicAgent,-2,False
109,MCCFRAgent,2,True
109,HeuristicAgent,-2,False
110,MCCFRAgent,100,True
110,HeuristicAgent,-100,False
111,MCCFRAgent,2,True
111,HeuristicAgent,-2,False
112,MCCFRAgent,-24,False
112,HeuristicAgent,24,True
113,MCCFRAgent,2,True
113,HeuristicAgent,-2,False
114,MCCFRAgent,2,True
114,HeuristicAgent,-2,False
115,MCCFRAgent,100,True
115,HeuristicAgent,-100,False
116,MCCFRAgent,-100,False
116,HeuristicAgent,100,True
117,MCCFRAgent,100,True
117,HeuristicAgent,-100,False
118,MCCFRAgent,2,True
118,HeuristicAgent,-2,False
119,MCCFRAgent,-100,False
119,HeuristicAgent,100,True
120,MCCFRAgent,-80,False
120,HeuristicAgent,80,True
121,MCCFRAgent,-100,False
121,HeuristicAgent,100,True
122,MCCFRAgent,-100,False
122,HeuristicAgent,100,True
123,MCCFRAgent,36,True
123,HeuristicAgent,-36,False
124,MCCFRAgent,-100,False
124,HeuristicAgent,100,True
125,MCCFRAgent,100,True
125,HeuristicAgent,-100,False
126,MCCFRAgent,100,True
126,HeuristicAgent,-100,False
127,MCCFRAgent,-100,False
127,HeuristicAgent,100,True
128,MCCFRAgent,2,True
128,HeuristicAgent,-2,False
129,MCCFRAgent,-100,False
129,HeuristicAgent,100,True
130,MCCFRAgent,0,False
130,HeuristicAgent,0,False
131,MCCFRAgent,-100,False
131,HeuristicAgent,100,True
132,MCCFRAgent,100,True
132,HeuristicAgent,-100,False
133,MCCFRAgent,0,False
133,HeuristicAgent,0,False
134,MCCFRAgent,-100,False
134,HeuristicAgent,100,True
135,MCCFRAgent,100,True
135,HeuristicAgent,-100,False
136,MCCFRAgent,100,True
136,HeuristicAgent,-100,False
137,MCCFRAgent,-80,False
137,HeuristicAgent,80,True
138,MCCFRAgent,100,True
138,HeuristicAgent,-100,False
139,MCCFRAgent,100,True
139,HeuristicAgent,-100,False
140,MCCFRAgent,2,True
140,HeuristicAgent,-2,False
141,MCCFRAgent,2,True
141,HeuristicAgent,-2,False
142,MCCFRAgent,6,True
142,HeuristicAgent,-6,False
143,MCCFRAgent,-100,False
143,HeuristicAgent,100,True
144,MCCFRAgent,0,False
144,HeuristicAgent,0,False
145,MCCFRAgent,4,True
145,HeuristicAgent,-4,False
146,MCCFRAgent,100,True
146,HeuristicAgent,-100,False
147,MCCFRAgent,-100,False
147,HeuristicAgent,100,True
148,MCCFRAgent,-100,False
148,HeuristicAgent,100,True
149,MCCFRAgent,2,True
149,HeuristicAgent,-2,False
150,MCCFRAgent,-4,False
150,HeuristicAgent,4,True
151,MCCFRAgent,100,True
151,HeuristicAgent,-100,False
152,MCCFRAgent,-100,False
152,HeuristicAgent,100,True
153,MCCFRAgent,-100,False
153,HeuristicAgent,100,True
154,MCCFRAgent,-100,False
154,HeuristicAgent,100,True
155,MCCFRAgent,-100,False
155,HeuristicAgent,100,True
156,MCCFRAgent,-100,False
156,HeuristicAgent,100,True
157,MCCFRAgent,100,True
157,HeuristicAgent,-100,False
158,MCCFRAgent,96,True
158,HeuristicAgent,-96,False
